"code","species","scale","icc31"
"AGCPB1","brown capuchin","B",0.63
"AHCPB1","brown capuchin","B",0.62
"ARCPB1","brown capuchin","B",0.22
"ARCPB2","brown capuchin","B",0.2
"AXCPB1","brown capuchin","B",0.59
"AXCPB2","brown capuchin","B",0.44
"COCPB1","brown capuchin","B",0.51
"COCPB2","brown capuchin","B",0.52
"CRCPB1","brown capuchin","B",0.4
"CUCPB1","brown capuchin","B",0.29
"CUCPB2","brown capuchin","B",0.37
"DICPB1","brown capuchin","B",0.41
"DOCPB1","brown capuchin","B",0.72
"DOCPB2","brown capuchin","B",0.66
"FOCPB1","brown capuchin","B",0.31
"FOCPB2","brown capuchin","B",0.16
"GRCPB1","brown capuchin","B",0.59
"GRCPB2","brown capuchin","B",0.42
"IMCPB1","brown capuchin","B",0.54
"PACPB1","brown capuchin","B",0.34
"PACPB2","brown capuchin","B",0.17
"PECPB1","brown capuchin","B",0.19
"PLCPB1","brown capuchin","B",0.65
"PLCPB2","brown capuchin","B",0.75
"SCCPB1","brown capuchin","B",0.08
"SHCPB1","brown capuchin","B",0.38
"SOCPB1","brown capuchin","B",0.13
"SOCPB2","brown capuchin","B",0.44
"SOCPB3","brown capuchin","B",0.43
"SXCPB1","brown capuchin","B",0.4
"VICPB1","brown capuchin","B",0.22
"VICPB2","brown capuchin","B",0.19
"YOCPB1","brown capuchin","B",0.146
"YOCPB2","brown capuchin","B",0.25
"AGCPAD","brown capuchin","A",0.58
"AHCPAD","brown capuchin","A",0.52
"ARCPAD","brown capuchin","A",0.53
"AXCPAD","brown capuchin","A",0.25
"COCPAD","brown capuchin","A",0.66
"CRCPAD","brown capuchin","A",0.53
"CUCPAD","brown capuchin","A",0.56
"DICPAD","brown capuchin","A",0.2
"DOCPAD","brown capuchin","A",0.83
"FOCPAD","brown capuchin","A",0.57
"GRCPAD","brown capuchin","A",0.26
"IMCPAD","brown capuchin","A",0.28
"PACPAD","brown capuchin","A",0.49
"PECPAD","brown capuchin","A",0.27
"PLCPAD","brown capuchin","A",0.66
"SCCPAD","brown capuchin","A",-0.1
"SHCPAD","brown capuchin","A",0.33
"SOCPAD","brown capuchin","A",0.23
"SXCPAD","brown capuchin","A",0.62
"VICPAD","brown capuchin","A",0.21
"YOCPAD","brown capuchin","A",0.521
"AGMNB1","macaques_t1","B",0.48
"AGMNB2","macaques_t1","B",0.38
"ARMNB1","macaques_t1","B",0.24
"AXMNB1","macaques_t1","B",0.38
"AXMNB2","macaques_t1","B",0.53
"COMNB1","macaques_t1","B",0.52
"CUMNB1","macaques_t1","B",0.59
"CUMNB2","macaques_t1","B",0.47
"DIMNB1","macaques_t1","B",0.3
"DOMNB1","macaques_t1","B",0.54
"DOMNB2","macaques_t1","B",0.54
"FRMNB1","macaques_t1","B",0.31
"FRMNB2","macaques_t1","B",0.42
"GRMNB1","macaques_t1","B",0.46
"GRMNB2","macaques_t1","B",0.41
"IMMNB1","macaques_t1","B",0.65
"PAMNB1","macaques_t1","B",0.68
"PAMNB2","macaques_t1","B",0.6
"PEMNB1","macaques_t1","B",0.14
"PLMNB1","macaques_t1","B",0.46
"PLMNB2","macaques_t1","B",0.73
"SCMNB1","macaques_t1","B",0.15
"SXMNB1","macaques_t1","B",0.46
"SCMNB1","macaques_t1","B",0.53
"TPMNB1","macaques_t1","B",0.35
"TPMNB2","macaques_t1","B",0.43
"TPMNB3","macaques_t1","B",0.02
"VIMNB1","macaques_t1","B",0.34
"YOMNB1","macaques_t1","B",0.19
"YOMNB2","macaques_t1","B",0.72
"AGMNB1","macaques_t2","B",0.27
"AGMNB2","macaques_t2","B",0.29
"ARMNB1","macaques_t2","B",0.09
"AXMNB1","macaques_t2","B",0.12
"AXMNB2","macaques_t2","B",0.51
"COMNB1","macaques_t2","B",0.21
"CUMNB1","macaques_t2","B",0.55
"CUMNB2","macaques_t2","B",0.49
"DIMNB1","macaques_t2","B",0.22
"DOMNB1","macaques_t2","B",0.5
"DOMNB2","macaques_t2","B",0.59
"FRMNB1","macaques_t2","B",0.43
"FRMNB2","macaques_t2","B",0.38
"GRMNB1","macaques_t2","B",0.51
"GRMNB2","macaques_t2","B",0.36
"IMMNB1","macaques_t2","B",0.47
"PAMNB1","macaques_t2","B",0.68
"PAMNB2","macaques_t2","B",0.68
"PEMNB1","macaques_t2","B",0.15
"PLMNB1","macaques_t2","B",0.51
"PLMNB2","macaques_t2","B",0.74
"SCMNB1","macaques_t2","B",0.12
"SXMNB1","macaques_t2","B",0.39
"SCMNB1","macaques_t2","B",0.43
"TPMNB1","macaques_t2","B",0.42
"TPMNB2","macaques_t2","B",0.33
"TPMNB3","macaques_t2","B",0.17
"VIMNB1","macaques_t2","B",0.51
"YOMNB1","macaques_t2","B",0.23
"YOMNB2","macaques_t2","B",0.72
"AGMCAD","macaques_t1","A",0.33
"AR,CAD","macaques_t1","A",0.28
"AX,CAD","macaques_t1","A",0.52
